student_id,onelayer,0.906961886682243,0.9097556089743589
student_id,twolayer,0.8171546436915887,0.8171073717948718
student_id,conv,0.9740070093457944,0.9740584935897436
5092923,onelayer,0.854939398364486,0.8518629807692307
5092923,onelayer,0.7319837908878505,0.7315705128205128
5092923,onelayer,0.7368209696261683,0.7381810897435898
5092923,onelayer,0.9234995619158879,0.9286858974358975
5092923,onelayer,0.9289391063084113,0.9293870192307693
5092923,onelayer,0.9282089661214953,0.9250801282051282
5092923,onelayer,0.9293954439252337,0.92578125
5092923,onelayer,0.9239193925233645,0.9252804487179487
5092923,onelayer,0.9293954439252337,0.9291866987179487
5092923,onelayer,0.9301255841121495,0.9271834935897436
5092923,onelayer,0.9283549941588785,0.9284855769230769
5092923,twolayer,0.9509528329439252,0.9533253205128205
5092923,conv,0.9830790011682243,0.9837740384615384
